epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1807,1.24065,4.27361,0.99893,0.00744,0.64641,0.12146,0.08576,1.15651,3.36069,0.89792,0.000252265,0.000252265,0.000252265
2,51.3436,1.14313,2.95492,0.94768,0.28158,0.35168,0.2778,0.19173,1.13456,2.23047,0.92111,0.000498528,0.000498528,0.000498528
3,75.2001,1.10645,2.61775,0.95127,0.34702,0.54509,0.30126,0.19187,1.26438,2.37065,0.97913,0.00073464,0.00073464,0.00073464
4,96.5142,1.09457,2.46091,0.95116,0.36036,0.5503,0.35433,0.24032,1.07437,1.79304,0.9309,0.000723321,0.000723321,0.000723321
5,118.084,1.09964,2.26836,0.95586,0.42056,0.53556,0.45822,0.31725,1.02821,1.6366,0.91485,0.000708095,0.000708095,0.000708095
6,142.215,1.10724,2.06157,0.96869,0.49277,0.59448,0.57124,0.39832,1.04911,1.50912,0.93469,0.000692869,0.000692869,0.000692869
7,163.491,1.06698,1.91902,0.95468,0.70574,0.5877,0.68539,0.49316,1.05458,1.28709,0.94332,0.000677643,0.000677643,0.000677643
8,184.771,1.02846,1.64301,0.94906,0.77361,0.68591,0.75855,0.53182,1.06224,1.17381,0.94654,0.000662417,0.000662417,0.000662417
9,208.38,1.04664,1.54897,0.94808,0.80557,0.63184,0.7477,0.53476,1.07491,1.12177,0.94477,0.00064719,0.00064719,0.00064719
10,229.608,1.00348,1.41509,0.94747,0.79383,0.68333,0.7663,0.57113,0.98115,1.03217,0.92572,0.000631964,0.000631964,0.000631964
11,250.798,0.97984,1.3067,0.94588,0.78973,0.73623,0.8128,0.59242,0.98464,0.93502,0.9416,0.000616738,0.000616738,0.000616738
12,273.395,0.99089,1.21233,0.93451,0.86737,0.72166,0.82153,0.59499,0.97087,0.88833,0.91574,0.000601512,0.000601512,0.000601512
13,295.681,0.94534,1.15188,0.93165,0.87523,0.74617,0.84315,0.60138,0.99754,0.86689,0.92379,0.000586286,0.000586286,0.000586286
14,317.123,0.95389,1.10599,0.92168,0.88377,0.74213,0.83779,0.62321,0.96784,0.87423,0.92011,0.000571059,0.000571059,0.000571059
15,338.834,0.94025,1.07924,0.92226,0.87886,0.76833,0.8473,0.61156,1.03841,0.84298,0.93706,0.000555833,0.000555833,0.000555833
16,362.366,0.96414,1.05211,0.91643,0.88605,0.75784,0.84328,0.63607,0.9181,0.77559,0.91607,0.000540607,0.000540607,0.000540607
17,383.527,0.94055,1.01204,0.92052,0.87552,0.73755,0.84966,0.61612,0.99892,0.79459,0.93361,0.000525381,0.000525381,0.000525381
18,405.435,0.92024,0.99779,0.92323,0.87431,0.73802,0.84682,0.62187,0.95907,0.7813,0.92189,0.000510155,0.000510155,0.000510155
19,428.642,0.92352,0.97573,0.91691,0.89434,0.76612,0.84319,0.62336,0.96305,0.79728,0.91082,0.000494928,0.000494928,0.000494928
20,450.123,0.93855,0.93655,0.91486,0.92681,0.74057,0.85979,0.64265,0.9407,0.73067,0.908,0.000479702,0.000479702,0.000479702
21,471.793,0.89735,0.92427,0.91412,0.88863,0.79653,0.87064,0.60898,1.04901,0.74968,0.92452,0.000464476,0.000464476,0.000464476
22,499.568,0.90897,0.90378,0.90515,0.93083,0.76703,0.87368,0.64488,0.94772,0.70067,0.91489,0.00044925,0.00044925,0.00044925
23,520.785,0.87288,0.86636,0.91078,0.88154,0.7966,0.8768,0.6321,0.97275,0.73436,0.90886,0.000434024,0.000434024,0.000434024
24,543.975,0.89288,0.88094,0.91285,0.91158,0.78441,0.87424,0.63278,0.96969,0.71315,0.92011,0.000418797,0.000418797,0.000418797
25,573.008,0.8783,0.85091,0.90201,0.89734,0.80219,0.87095,0.64218,0.96173,0.71022,0.90556,0.000403571,0.000403571,0.000403571
26,599.376,0.86917,0.83531,0.89679,0.89739,0.79553,0.87839,0.65212,0.93549,0.6815,0.91883,0.000388345,0.000388345,0.000388345
27,631.253,0.86477,0.81657,0.89789,0.90887,0.79106,0.87447,0.65853,0.91273,0.69405,0.89736,0.000373119,0.000373119,0.000373119
28,657.842,0.88112,0.81968,0.90263,0.90285,0.78404,0.88042,0.63279,1.00544,0.7096,0.90642,0.000357893,0.000357893,0.000357893
29,690.579,0.84162,0.80804,0.89557,0.89525,0.78215,0.88283,0.66025,0.92058,0.67146,0.9009,0.000342666,0.000342666,0.000342666
